ID,item_cnt_month
0,0.573597592
1,0.312650701
2,0.931702841
3,0.403807861
4,2.33129976
5,0.574584254
6,0.960371769
7,0.156774332
8,0.535950706
9,0.618720402
10,1.860709067
11,0.388602557
12,0.160831423
13,0.37577698
14,1.349662302
15,2.159555731
16,0.119692153
17,0.163368167
18,1.053633404
19,0.259279114
20,0.334005272
21,0.271544044
22,1.285474987
23,0.543318289
24,1.11333994
25,0.900642935
26,0.338132114
27,0.367272067
28,0.806725137
29,2.782183049
30,0.495822615
31,0.411984413
32,0.569885624
33,0.68285152
34,0.168362936
35,0.171000772
36,0.168362936
37,0.629568617
38,0.245017989
39,0.190813502
40,0.578190141
41,1.140577999
42,2.868860104
43,2.995984528
44,0.725985484
45,0.336781119
46,0.641127775
47,0.353994323
48,0.425373129
49,0.719315651
50,0.750334719
51,0.448373027
52,0.461515957
53,0.352008189
54,3.703245896
55,2.261812604
56,1.48142373
57,1.543512908
58,3.271615717
59,2.240441512
60,3.114709686
61,0.339793742
62,0.303741275
63,0.396698473
64,1.652751644
65,0.312248129
66,0.532619317
67,0.153373703
68,0.472081906
69,0.16178184
70,0.312248129
71,1.38553603
72,0.315484646
73,0.775862641
74,4.706227248
75,5.003883134
76,0.257897003
77,1.715267065
78,0.431554783
79,0.646916283
80,0.997632533
81,1.632408986
82,0.833087067
83,0.292258997
84,0.594416343
85,0.732438799
86,0.456456639
87,0.112562179
88,1.995487462
89,0.921590506
90,0.651335927
91,0.564481219
92,1.391959824
93,0.200274003
94,0.558188446
95,0.099318333
96,0.136177353
97,0.410661588
98,0.496248554
99,1.142957503
100,1.124543557
101,1.365348171
102,0.312772954
103,0.700117782
104,0.176563886
105,0.414376951
106,0.326930371
107,0.764213606
108,0.156189598
109,0.312650701
110,0.335203396
111,0.419163044
112,0.381470697
113,0.866525246
114,0.254360527
115,0.374559751
116,0.37744195
117,0.130581835
118,5.159777945
119,0.166621652
120,0.160713918
121,0.177318549
122,0.327437249
123,0.351950107
124,0.431963644
125,0.782840106
126,0.397485424
127,0.153051411
128,0.280812307
129,0.245640785
130,0.318713406
131,0.116074788
132,0.860126884
133,3.930673908
134,0.154264529
135,1.287829066
136,0.723441874
137,0.677991653
138,1.159856858
139,0.985385773
140,0.232291074
141,0.351667752
142,0.132008037
143,0.397354202
144,0.312859867
145,0.312859867
146,0.312859867
147,0.112562179
148,0.306880691
149,0.144085737
150,0.118914144
151,0.402036252
152,4.528136408
153,0.261839196
154,0.116185629
155,0.187996608
156,0.188721101
157,0.244875058
158,0.150917049
159,0.245242695
160,0.493675093
161,0.225249378
162,0.389570992
163,0.370244281
164,0.305670753
165,0.135705108
166,0.322358934
167,0.112562179
168,0.304473501
169,0.155509752
170,0.22347849
171,0.33057785
172,0.181623605
173,1.555190169
174,1.129459435
175,2.386854041
176,1.007754468
177,0.368891598
178,0.246162875
179,0.161430111
180,1.248646097
181,0.212958958
182,0.246181443
183,0.182074383
184,0.164177044
185,0.368891598
186,0.156339645
187,0.144268114
188,0.306880691
189,0.306880691
190,0.279354611
191,0.499055368
192,0.513855694
193,0.197748173
194,0.236601074
195,0.215701108
196,0.486479354
197,2.336321626
198,1.155710067
199,2.378911902
200,0.253103672
201,2.378911902
202,0.186083189
203,1.076792226
204,0.183640714
205,0.547211133
206,0.519122114
207,0.138305386
208,1.24422256
209,0.393765867
210,0.223628038
211,0.125451848
212,0.112562179
213,0.277308593
214,0.144335287
215,0.228655551
216,0.347332099
217,0.165075937
218,1.051992789
219,0.453485956
220,0.341865628
221,1.793768032
222,2.831328023
223,0.589466507
224,1.904542195
225,0.394486661
226,0.530089279
227,0.179923632
228,0.250549701
229,0.256037189
230,3.433554892
